0.15824 -0.0534421 -0.018595 -0.0226656 54.9998 0.0581268 0.0819867 0.200254 -0.0369601 -0.0266059 -0.107088 -0.00759405
0.764429 0.171454 0.00132191 -0.300694 54.9988 0.0204398 2.14399 -0.087259 -0.479438 1.74621 0.151555 -0.11382
0.574891 -0.0983735 0.185611 -0.303243 54.9981 -0.14869 3.38991 -0.164926 -0.61028 2.3246 -0.142861 0.0373376
1.37722 -0.0655028 0.0232678 -0.202681 54.9982 0.175513 2.58354 0.0890998 -0.533271 2.41212 0.295327 0.175408
1.25721 -0.406691 -6.9845e-005 -0.0213614 54.9984 0.13346 2.62725 0.156658 -0.393275 1.84933 0.117879 0.422973
1.35761 -0.500692 -0.0928556 -0.107306 54.9966 -0.415298 2.58805 -0.53415 -0.516709 1.74428 -0.310824 0.374097
3.81503 -1.49619 0.210873 0.105421 54.9854 -1.10851 4.45337 -1.22562 -0.464429 3.05738 -1.06996 0.798953
9.42791 -2.32165 2.90645 2.9747 54.8736 -1.95753 8.78945 -2.61131 2.226 7.89569 -1.35396 4.15456
15.4432 -2.68197 14.1374 13.7293 53.1384 -3.42714 11.1229 -4.4413 14.0222 11.6333 -2.53103 15.0429
20.0462 -6.26531 38.0484 32.6684 43.7986 -5.65981 9.16888 -7.95789 38.3237 13.2748 -3.45463 34.807
20.7789 -15.3943 71.4293 50.3442 20.4351 -6.16977 3.10104 -9.14956 72.8971 13.4306 -3.20889 61.9836
7.32373 -24.7383 118.046 51.436 -14.906 -7.33485 -5.97481 -9.58381 115.82 12.1942 -5.37108 94.6595
-9.33507 -23.9132 160.425 34.2672 -39.998 -8.32335 -15.3983 -8.50822 152.479 4.15421 -8.93956 123.652
-14.0646 -18.9156 -177.492 20.8377 -48.2428 -4.98816 -15.9274 -3.2932 171.377 3.31882 -7.5038 138.736
-12.3271 -16.4519 -173.09 18.9351 -49.5298 -2.16581 -5.90704 -1.17219 172.9 3.43958 -3.55943 142.389
-11.3195 -17.0359 -174.232 21.9445 -48.6331 -1.51842 -2.09973 -1.28087 168.429 0.470635 -1.94342 140.394
-8.01439 -17.6963 -176.226 26.0812 -46.9641 -1.14207 2.69165 -1.03377 162.19 0.728947 -1.37712 137.432
-3.99315 -17.3424 -177.602 30.0174 -44.8793 -0.0552305 5.29631 0.272011 156.232 2.59672 -0.452995 134.185
3.53863 -16.5368 -179.857 33.569 -42.2889 0.182592 7.42503 0.409132 151.566 4.61706 -0.0724846 129.52
7.77129 -15.5312 177.64 37.0927 -39.2086 0.46099 6.35898 0.486055 146.686 4.66192 0.473258 124.444
10.4603 -14.895 175.139 40.3253 -35.8578 0.730203 5.92999 0.941081 141.784 4.48991 0.544264 119.449
11.8037 -14.4937 172.565 43.2866 -31.9822 1.09345 3.14905 1.36048 137.247 2.73094 0.87361 113.48
13.3618 -13.6189 170.253 46.3092 -27.1986 2.81447 3.26295 3.0914 131.466 2.86234 2.74345 107.148
